index,state,Day,Month,Year,order_date,revenue
5534,California,Thursday,July,2014,7/17/2014,771
5535,Nebraska,Thursday,October,2014,10/9/2014,777
5536,Florida,Tuesday,October,2014,10/14/2014,933
5537,Indiana,Wednesday,April,2014,4/23/2014,486
5538,Florida,Tuesday,December,2014,12/23/2014,841
5539,Missouri,Friday,April,2014,4/18/2014,1204
5540,California,Sunday,March,2014,3/16/2014,663
5541,Oklahoma,Friday,April,2014,4/4/2014,533
5542,Oregon,Wednesday,January,2014,1/8/2014,906
5543,Alaska,Sunday,March,2014,3/2/2014,438
5544,Nebraska,Monday,November,2014,11/10/2014,702
5545,New Mexico,Thursday,July,2014,7/31/2014,1123
5546,Mississippi,Thursday,May,2014,5/15/2014,641
5547,California,Wednesday,April,2014,4/16/2014,695
5548,Missouri,Wednesday,October,2014,10/29/2014,1108
5549,Alaska,Tuesday,January,2014,1/21/2014,677
5550,Kansas,Wednesday,October,2014,10/22/2014,1042
5551,Illinois,Wednesday,April,2014,4/2/2014,1756
5552,Ohio,Wednesday,February,2014,2/26/2014,542
5553,Mississippi,Thursday,July,2014,7/10/2014,693
5554,Montana,Sunday,March,2014,3/9/2014,1085
5555,Montana,Saturday,October,2014,10/18/2014,842
5556,Texas,Thursday,October,2014,10/16/2014,1302
5557,Florida,Sunday,March,2014,3/30/2014,1041
5558,New York,Friday,September,2014,9/12/2014,691
5559,Mississippi,Thursday,March,2014,3/20/2014,653
5560,Oregon,Sunday,June,2014,6/15/2014,671
5561,New York,Friday,February,2014,2/14/2014,980
5562,Missouri,Saturday,July,2014,7/5/2014,1038
5563,New Mexico,Thursday,October,2014,10/2/2014,977
5564,Missouri,Tuesday,December,2014,12/23/2014,1035
5565,Indiana,Saturday,January,2014,1/4/2014,531
5566,California,Wednesday,July,2014,7/2/2014,605
5567,Illinois,Friday,December,2014,12/26/2014,1224
5568,Mississippi,Wednesday,March,2014,3/26/2014,653
5569,Oklahoma,Friday,May,2014,5/2/2014,553
5570,Florida,Monday,December,2014,12/8/2014,764
5571,Indiana,Sunday,March,2014,3/2/2014,635
5572,Indiana,Sunday,June,2014,6/8/2014,452
5573,Washington,Monday,September,2014,9/29/2014,1012
5574,Nebraska,Tuesday,July,2014,7/15/2014,774
5575,Missouri,Monday,September,2014,9/1/2014,1213
5576,Florida,Saturday,November,2014,11/22/2014,834
5577,Montana,Friday,July,2014,7/25/2014,1044
5578,Iowa,Monday,November,2014,11/17/2014,1106
5579,New Mexico,Tuesday,March,2014,3/11/2014,1505
5580,Louisiana,Sunday,November,2014,11/9/2014,1191
5581,Arkansas,Sunday,July,2014,7/6/2014,1369
5582,Nevada,Monday,May,2014,5/19/2014,357
5583,Oklahoma,Saturday,February,2014,2/22/2014,549
5584,Nevada,Saturday,March,2014,3/15/2014,296
5585,Missouri,Tuesday,September,2014,9/2/2014,1151
5586,Kansas,Sunday,August,2014,8/17/2014,1187
5587,Maine,Thursday,January,2014,1/16/2014,470
5588,Idaho,Wednesday,November,2014,11/26/2014,1306
5589,Georgia,Saturday,May,2014,5/31/2014,1276
5590,Florida,Sunday,July,2014,7/27/2014,898
5591,Kansas,Monday,November,2014,11/10/2014,1160
5592,Illinois,Monday,December,2014,12/22/2014,1241
5593,Nebraska,Tuesday,January,2014,1/7/2014,620
5594,Missouri,Thursday,September,2014,9/4/2014,1250
5595,California,Sunday,February,2014,2/16/2014,648
5596,Maine,Saturday,August,2014,8/16/2014,364
5597,New Mexico,Sunday,November,2014,11/23/2014,1153
5598,Missouri,Monday,July,2014,7/21/2014,1123
5599,Florida,Thursday,October,2014,10/23/2014,820
5600,Iowa,Monday,June,2014,6/9/2014,1338
5601,Maine,Thursday,March,2014,3/20/2014,415
5602,Missouri,Friday,September,2014,9/12/2014,1126
5603,Mississippi,Wednesday,October,2014,10/15/2014,587
5604,Arkansas,Saturday,November,2014,11/22/2014,1140
5605,Florida,Thursday,September,2014,9/25/2014,895
5606,California,Tuesday,September,2014,9/16/2014,772
5607,Arkansas,Wednesday,November,2014,11/12/2014,1158
5608,Delaware,Monday,June,2014,6/9/2014,1009
5609,Oklahoma,Wednesday,May,2014,5/28/2014,419
5610,New York,Thursday,February,2014,2/27/2014,835
5611,Indiana,Friday,May,2014,5/16/2014,588
5612,Illinois,Friday,March,2014,3/28/2014,1545
5613,Ohio,Tuesday,September,2014,9/16/2014,597
5614,Nebraska,Tuesday,July,2014,7/1/2014,706
5615,Nevada,Wednesday,February,2014,2/26/2014,425
5616,Ohio,Tuesday,December,2014,12/16/2014,556
5617,Idaho,Wednesday,October,2014,10/8/2014,1156
5618,Texas,Friday,October,2014,10/31/2014,1131
5619,Indiana,Sunday,January,2014,1/5/2014,662
5620,Kansas,Thursday,September,2014,9/4/2014,1156
5621,Idaho,Wednesday,September,2014,9/17/2014,1288
5622,Kansas,Wednesday,November,2014,11/5/2014,1245
5623,Illinois,Thursday,December,2014,12/11/2014,1257
5624,Alaska,Wednesday,June,2014,6/11/2014,678
5625,Oregon,Sunday,January,2014,1/12/2014,965
5626,Indiana,Thursday,September,2014,9/4/2014,429
5627,Idaho,Wednesday,October,2014,10/29/2014,1323
5628,Nevada,Thursday,July,2014,7/17/2014,528
5629,Illinois,Wednesday,September,2014,9/3/2014,1319
5630,Maine,Wednesday,June,2014,6/18/2014,276
5631,New Mexico,Saturday,November,2014,11/15/2014,1139
5632,Oklahoma,Saturday,July,2014,7/19/2014,629
5633,Oregon,Friday,September,2014,9/26/2014,732
5634,Florida,Tuesday,June,2014,6/24/2014,1027
5635,Texas,Sunday,December,2014,12/21/2014,1087
5636,Florida,Saturday,May,2014,5/3/2014,906
5637,Kansas,Saturday,December,2014,12/6/2014,1077
5638,Nevada,Friday,March,2014,3/7/2014,501
5639,Delaware,Friday,October,2014,10/17/2014,810
5640,Oklahoma,Friday,June,2014,6/6/2014,583
5641,Oregon,Tuesday,November,2014,11/11/2014,641
5642,Missouri,Saturday,November,2014,11/29/2014,975
5643,Florida,Friday,December,2014,12/26/2014,782
5644,Indiana,Sunday,May,2014,5/4/2014,491
5645,Indiana,Wednesday,May,2014,5/7/2014,683
5646,Mississippi,Saturday,December,2014,12/20/2014,558
5647,Missouri,Saturday,November,2014,11/8/2014,1241
5648,Washington,Wednesday,September,2014,9/3/2014,817
5649,Ohio,Tuesday,March,2014,3/18/2014,604
5650,Iowa,Sunday,December,2014,12/14/2014,1095
5651,Illinois,Friday,November,2014,11/7/2014,1385
5652,California,Saturday,March,2014,3/29/2014,701
5653,Idaho,Tuesday,January,2014,1/28/2014,1576
5654,Oklahoma,Tuesday,June,2014,6/24/2014,547
5655,Indiana,Sunday,July,2014,7/13/2014,618
5656,Maine,Sunday,August,2014,8/31/2014,323
5657,Montana,Thursday,December,2014,12/25/2014,840
5658,Louisiana,Wednesday,September,2014,9/10/2014,1448
5659,Ohio,Monday,February,2014,2/10/2014,577
5660,Mississippi,Friday,August,2014,8/1/2014,583
5661,Iowa,Monday,December,2014,12/22/2014,1160
5662,Alaska,Wednesday,February,2014,2/26/2014,746
5663,Maine,Tuesday,August,2014,8/5/2014,223
5664,New York,Wednesday,July,2014,7/9/2014,850
5665,Nevada,Sunday,March,2014,3/16/2014,599
5666,Illinois,Sunday,October,2014,10/19/2014,1327
5667,New York,Monday,February,2014,2/17/2014,764
5668,Missouri,Wednesday,June,2014,6/18/2014,1207
5669,Maine,Tuesday,April,2014,4/1/2014,356
5670,California,Tuesday,March,2014,3/18/2014,469
5671,Idaho,Monday,December,2014,12/1/2014,1175
5672,Missouri,Thursday,July,2014,7/17/2014,1185
5673,New York,Thursday,December,2014,12/11/2014,802
5674,Delaware,Tuesday,May,2014,5/20/2014,848
5675,Alaska,Sunday,March,2014,3/9/2014,752
5676,Oklahoma,Sunday,April,2014,4/6/2014,434
5677,Louisiana,Saturday,May,2014,5/17/2014,1326
5678,Oregon,Tuesday,June,2014,6/17/2014,694
5679,Maine,Thursday,June,2014,6/12/2014,263
5680,Oklahoma,Tuesday,April,2014,4/8/2014,314
5681,Idaho,Saturday,November,2014,11/15/2014,1188
5682,Montana,Sunday,August,2014,8/17/2014,794
5683,Alaska,Friday,April,2014,4/4/2014,669
5684,Illinois,Tuesday,August,2014,8/5/2014,1417
5685,Missouri,Friday,December,2014,12/5/2014,1092
5686,Missouri,Thursday,October,2014,10/23/2014,1114
5687,Kansas,Sunday,September,2014,9/14/2014,1106
5688,California,Saturday,December,2014,12/20/2014,580
5689,Missouri,Tuesday,October,2014,10/21/2014,1135
5690,Delaware,Sunday,June,2014,6/29/2014,790
5691,New Mexico,Wednesday,September,2014,9/24/2014,1143
5692,Louisiana,Thursday,October,2014,10/16/2014,1478
5693,California,Sunday,January,2014,1/26/2014,557
5694,Iowa,Sunday,September,2014,9/14/2014,1121
5695,Missouri,Saturday,August,2014,8/16/2014,1112
5696,Georgia,Monday,September,2014,9/1/2014,1204
5697,Arkansas,Thursday,October,2014,10/23/2014,1161
5698,California,Wednesday,May,2014,5/28/2014,656
5699,Illinois,Saturday,November,2014,11/22/2014,1441
5700,Nevada,Thursday,July,2014,7/3/2014,434
5701,Georgia,Thursday,November,2014,11/13/2014,1245
5702,Illinois,Friday,August,2014,8/8/2014,1416
5703,Ohio,Tuesday,April,2014,4/15/2014,640
5704,Texas,Sunday,December,2014,12/14/2014,1123
5705,Mississippi,Wednesday,July,2014,7/2/2014,674
5706,Oregon,Monday,December,2014,12/15/2014,599
5707,Delaware,Thursday,November,2014,11/13/2014,874
5708,Louisiana,Thursday,September,2014,9/18/2014,1358
5709,Louisiana,Sunday,August,2014,8/31/2014,1490
5710,Nevada,Sunday,January,2014,1/5/2014,677
5711,Iowa,Monday,October,2014,10/13/2014,1066
5712,Nevada,Thursday,February,2014,2/6/2014,451
5713,Ohio,Friday,January,2014,1/3/2014,682
5714,Oklahoma,Saturday,March,2014,3/15/2014,639
5715,Louisiana,Monday,February,2014,2/10/2014,1544
5716,Kansas,Thursday,November,2014,11/6/2014,1043
5717,Alaska,Saturday,May,2014,5/24/2014,590
5718,Alaska,Saturday,June,2014,6/28/2014,694
5719,Oklahoma,Tuesday,February,2014,2/4/2014,603
5720,New Mexico,Thursday,July,2014,7/31/2014,1244
5721,Kansas,Thursday,October,2014,10/9/2014,1191
5722,Maine,Sunday,January,2014,1/12/2014,419
5723,Illinois,Tuesday,October,2014,10/21/2014,1258
5724,Illinois,Tuesday,October,2014,10/7/2014,1459
5725,Delaware,Friday,June,2014,6/20/2014,1022
5726,Maine,Tuesday,July,2014,7/15/2014,441
5727,Indiana,Saturday,January,2014,1/18/2014,713
5728,Washington,Tuesday,April,2014,4/8/2014,1283
5729,Nevada,Tuesday,December,2014,12/16/2014,449
5730,New York,Monday,April,2014,4/21/2014,829
5731,Georgia,Wednesday,August,2014,8/20/2014,1377
5732,California,Monday,March,2014,3/24/2014,760
5733,Maine,Friday,September,2014,9/12/2014,390
5734,Missouri,Monday,June,2014,6/2/2014,1214
5735,Texas,Friday,February,2014,2/28/2014,1400
5736,Washington,Wednesday,July,2014,7/16/2014,816
5737,Oregon,Monday,March,2014,3/31/2014,688
5738,Kansas,Sunday,November,2014,11/30/2014,999
5739,Alaska,Tuesday,February,2014,2/25/2014,742
5740,California,Thursday,October,2014,10/16/2014,444
5741,Georgia,Sunday,August,2014,8/31/2014,1147
5742,Maine,Saturday,January,2014,1/11/2014,383
5743,Iowa,Thursday,January,2014,1/30/2014,1165
5744,Nevada,Thursday,April,2014,4/10/2014,473
5745,Oregon,Thursday,April,2014,4/17/2014,653
5746,Indiana,Thursday,July,2014,7/31/2014,475
5747,Oregon,Monday,May,2014,5/12/2014,664
5748,Montana,Monday,June,2014,6/23/2014,902
5749,Indiana,Tuesday,May,2014,5/20/2014,581
5750,Delaware,Wednesday,August,2014,8/13/2014,768
5751,Ohio,Wednesday,January,2014,1/8/2014,652
5752,California,Saturday,September,2014,9/20/2014,518
5753,Arkansas,Sunday,December,2014,12/14/2014,1249
5754,Florida,Tuesday,July,2014,7/15/2014,961
5755,Florida,Thursday,April,2014,4/17/2014,1006
5756,Iowa,Thursday,December,2014,12/25/2014,999
5757,Montana,Wednesday,June,2014,6/4/2014,800
5758,Oregon,Sunday,February,2014,2/16/2014,815
5759,Florida,Thursday,October,2014,10/16/2014,969
5760,Louisiana,Friday,April,2014,4/4/2014,1553
5761,Delaware,Wednesday,April,2014,4/2/2014,1049
5762,Oklahoma,Wednesday,March,2014,3/26/2014,666
5763,Kansas,Saturday,November,2014,11/8/2014,1043
5764,Mississippi,Thursday,June,2014,6/12/2014,707
5765,Kansas,Tuesday,August,2014,8/5/2014,1275
5766,Illinois,Wednesday,February,2014,2/12/2014,1620
5767,Texas,Tuesday,December,2014,12/2/2014,1021
5768,Arkansas,Saturday,October,2014,10/4/2014,1228
5769,Arkansas,Tuesday,October,2014,10/7/2014,1163
5770,Oregon,Friday,June,2014,6/13/2014,570
5771,California,Wednesday,April,2014,4/2/2014,661
5772,California,Sunday,January,2014,1/26/2014,682
5773,Maine,Saturday,October,2014,10/18/2014,406
5774,Florida,Saturday,December,2014,12/13/2014,960
5775,Illinois,Friday,December,2014,12/26/2014,1305
5776,Kansas,Thursday,May,2014,5/22/2014,1351
5777,Kansas,Wednesday,July,2014,7/2/2014,1186
5778,California,Friday,January,2014,1/3/2014,782
5779,Georgia,Monday,July,2014,7/14/2014,1255
5780,Missouri,Thursday,July,2014,7/24/2014,1207
5781,Georgia,Tuesday,July,2014,7/22/2014,1266
5782,New Mexico,Tuesday,June,2014,6/3/2014,1256
5783,Iowa,Friday,December,2014,12/19/2014,1094
5784,Oklahoma,Sunday,January,2014,1/5/2014,471
5785,Oklahoma,Wednesday,April,2014,4/30/2014,661
5786,Louisiana,Thursday,September,2014,9/18/2014,1465
5787,California,Sunday,October,2014,10/26/2014,582
5788,New Mexico,Friday,August,2014,8/8/2014,1083
5789,Texas,Tuesday,May,2014,5/27/2014,1126
5790,Maine,Monday,March,2014,3/24/2014,399
5791,Arkansas,Tuesday,July,2014,7/15/2014,1368
5792,Arkansas,Tuesday,August,2014,8/19/2014,1306
5793,Florida,Saturday,June,2014,6/14/2014,950
5794,Oklahoma,Friday,November,2014,11/7/2014,699
5795,Illinois,Friday,December,2014,12/12/2014,1320
5796,Ohio,Monday,September,2014,9/15/2014,662
5797,Oklahoma,Friday,May,2014,5/23/2014,523
5798,Louisiana,Wednesday,December,2014,12/3/2014,1389
5799,Kansas,Tuesday,August,2014,8/12/2014,1210
5800,Iowa,Tuesday,October,2014,10/21/2014,1065
5801,Ohio,Wednesday,October,2014,10/15/2014,572
5802,Oregon,Thursday,March,2014,3/27/2014,687
5803,Oklahoma,Sunday,May,2014,5/18/2014,517
5804,Oklahoma,Sunday,September,2014,9/28/2014,532
5805,Mississippi,Tuesday,June,2014,6/10/2014,493
5806,Mississippi,Sunday,July,2014,7/20/2014,828
5807,Ohio,Friday,October,2014,10/24/2014,629
5808,Iowa,Thursday,May,2014,5/29/2014,1242
5809,Texas,Wednesday,September,2014,9/3/2014,1441
5810,Texas,Friday,July,2014,7/11/2014,1256
5811,Montana,Friday,May,2014,5/16/2014,905
5812,Idaho,Thursday,November,2014,11/20/2014,1089
5813,Louisiana,Monday,December,2014,12/1/2014,1389
5814,Maine,Tuesday,January,2014,1/21/2014,423
5815,Oregon,Sunday,April,2014,4/13/2014,790
5816,Mississippi,Monday,June,2014,6/2/2014,721
5817,Louisiana,Friday,November,2014,11/28/2014,1356
5818,Delaware,Thursday,December,2014,12/25/2014,829
5819,Oklahoma,Monday,September,2014,9/29/2014,473
5820,New York,Friday,February,2014,2/21/2014,688
5821,Alaska,Saturday,February,2014,2/8/2014,476
5822,Nebraska,Friday,May,2014,5/9/2014,536
5823,Oregon,Sunday,January,2014,1/26/2014,794
5824,New York,Tuesday,February,2014,2/4/2014,794
5825,Washington,Saturday,August,2014,8/23/2014,809
5826,Alaska,Saturday,May,2014,5/10/2014,725
5827,Maine,Friday,January,2014,1/10/2014,428
5828,Nevada,Thursday,October,2014,10/16/2014,537
5829,Texas,Saturday,November,2014,11/29/2014,1252
5830,New Mexico,Thursday,October,2014,10/9/2014,1134
5831,Alaska,Wednesday,February,2014,2/5/2014,783
5832,Delaware,Wednesday,October,2014,10/22/2014,738
5833,Washington,Monday,September,2014,9/22/2014,782
5834,Illinois,Friday,October,2014,10/3/2014,1333
5835,Maine,Friday,June,2014,6/20/2014,276
5836,Ohio,Friday,January,2014,1/10/2014,729
5837,Delaware,Monday,July,2014,7/7/2014,987
5838,Nebraska,Sunday,May,2014,5/4/2014,804
5839,Georgia,Thursday,November,2014,11/13/2014,1196
5840,Washington,Tuesday,August,2014,8/26/2014,823
5841,Delaware,Saturday,October,2014,10/4/2014,841
5842,New Mexico,Thursday,November,2014,11/13/2014,1119
5843,Missouri,Friday,October,2014,10/24/2014,1184
5844,Kansas,Wednesday,November,2014,11/12/2014,1188
5845,Louisiana,Wednesday,February,2014,2/19/2014,1613
5846,Oklahoma,Thursday,May,2014,5/1/2014,509
5847,Mississippi,Thursday,July,2014,7/24/2014,558
5848,Kansas,Tuesday,July,2014,7/15/2014,1214
5849,Texas,Wednesday,May,2014,5/21/2014,1253
5850,Nevada,Wednesday,July,2014,7/9/2014,446
5851,California,Wednesday,August,2014,8/20/2014,593
5852,Maine,Wednesday,January,2014,1/1/2014,469
5853,Nebraska,Sunday,January,2014,1/12/2014,822
5854,Mississippi,Wednesday,March,2014,3/5/2014,509
5855,Idaho,Saturday,September,2014,9/20/2014,1269
5856,New York,Sunday,June,2014,6/15/2014,684
5857,Ohio,Thursday,April,2014,4/10/2014,675
5858,Nebraska,Monday,December,2014,12/22/2014,538
5859,Nevada,Sunday,September,2014,9/21/2014,412
5860,Texas,Thursday,October,2014,10/30/2014,1179
5861,Illinois,Saturday,July,2014,7/26/2014,1470
5862,Montana,Thursday,February,2014,2/27/2014,898
5863,Missouri,Friday,November,2014,11/28/2014,1193
5864,Nevada,Tuesday,January,2014,1/28/2014,540
5865,Idaho,Friday,October,2014,10/31/2014,1283
5866,Georgia,Sunday,May,2014,5/25/2014,1302
5867,Arkansas,Friday,November,2014,11/7/2014,1121
5868,New York,Tuesday,February,2014,2/4/2014,752
5869,Alaska,Tuesday,August,2014,8/5/2014,638
5870,Maine,Monday,November,2014,11/17/2014,379
5871,Iowa,Friday,September,2014,9/19/2014,1156
5872,Missouri,Tuesday,June,2014,6/3/2014,1109
5873,Arkansas,Sunday,August,2014,8/24/2014,1334
5874,Iowa,Monday,November,2014,11/24/2014,1055
5875,Ohio,Wednesday,August,2014,8/6/2014,652
5876,Oklahoma,Sunday,February,2014,2/2/2014,597
5877,Louisiana,Wednesday,October,2014,10/22/2014,1248
5878,Indiana,Thursday,April,2014,4/24/2014,598
5879,Delaware,Saturday,August,2014,8/30/2014,826
5880,Kansas,Saturday,May,2014,5/31/2014,1012
5881,Oregon,Monday,April,2014,4/7/2014,778
5882,New York,Tuesday,May,2014,5/6/2014,717
5883,Mississippi,Saturday,February,2014,2/8/2014,740
5884,Louisiana,Tuesday,October,2014,10/7/2014,1423
5885,Montana,Wednesday,September,2014,9/10/2014,867
5886,Missouri,Saturday,August,2014,8/30/2014,1034
5887,New York,Sunday,October,2014,10/5/2014,721
5888,Indiana,Thursday,January,2014,1/30/2014,539
5889,Nevada,Thursday,February,2014,2/13/2014,431
5890,Delaware,Saturday,September,2014,9/6/2014,853
5891,Georgia,Sunday,July,2014,7/6/2014,1371
5892,Arkansas,Monday,November,2014,11/10/2014,1206
5893,Delaware,Friday,December,2014,12/12/2014,847
5894,Kansas,Monday,September,2014,9/15/2014,1144
5895,Nebraska,Friday,June,2014,6/13/2014,751
5896,New Mexico,Monday,May,2014,5/26/2014,1200
5897,Texas,Monday,December,2014,12/15/2014,1254
5898,New Mexico,Tuesday,June,2014,6/24/2014,1096
5899,Indiana,Friday,June,2014,6/20/2014,700
5900,Texas,Sunday,July,2014,7/13/2014,1297
5901,Ohio,Sunday,January,2014,1/19/2014,485
5902,Louisiana,Saturday,May,2014,5/10/2014,1515
5903,New Mexico,Tuesday,September,2014,9/2/2014,1185
5904,Texas,Saturday,December,2014,12/20/2014,999
5905,Mississippi,Thursday,June,2014,6/5/2014,684
5906,Mississippi,Saturday,April,2014,4/5/2014,441
5907,New Mexico,Friday,October,2014,10/24/2014,1131
5908,Washington,Friday,July,2014,7/11/2014,954
5909,Maine,Friday,June,2014,6/27/2014,340
5910,Nebraska,Thursday,April,2014,4/17/2014,679
5911,Louisiana,Wednesday,December,2014,12/24/2014,1347
5912,Delaware,Monday,October,2014,10/13/2014,864
5913,Montana,Friday,December,2014,12/19/2014,801
5914,Idaho,Monday,July,2014,7/21/2014,1291
5915,Texas,Friday,December,2014,12/26/2014,1050
5916,Idaho,Friday,September,2014,9/5/2014,1281
5917,Maine,Friday,July,2014,7/18/2014,462
5918,Illinois,Saturday,October,2014,10/18/2014,1378
5919,Alaska,Friday,July,2014,7/18/2014,644
5920,Texas,Saturday,June,2014,6/7/2014,1237
5921,Arkansas,Monday,December,2014,12/8/2014,1055
5922,Louisiana,Friday,August,2014,8/22/2014,1224
5923,Oklahoma,Tuesday,March,2014,3/4/2014,562
5924,Idaho,Thursday,November,2014,11/13/2014,1268
5925,Arkansas,Monday,December,2014,12/1/2014,1188
5926,Indiana,Monday,August,2014,8/4/2014,492
5927,Delaware,Thursday,March,2014,3/6/2014,805
5928,Delaware,Tuesday,June,2014,6/3/2014,920
5929,Montana,Saturday,August,2014,8/30/2014,987
5930,Arkansas,Saturday,November,2014,11/29/2014,1218
5931,Nevada,Saturday,March,2014,3/22/2014,583
5932,Indiana,Monday,March,2014,3/31/2014,524
5933,Kansas,Tuesday,October,2014,10/28/2014,1139
5934,New Mexico,Tuesday,November,2014,11/25/2014,1108
5935,Nebraska,Saturday,January,2014,1/4/2014,835
5936,Missouri,Saturday,December,2014,12/6/2014,1142
5937,Delaware,Friday,July,2014,7/18/2014,942
5938,Delaware,Wednesday,August,2014,8/13/2014,917
5939,Montana,Tuesday,November,2014,11/18/2014,678
5940,Iowa,Sunday,June,2014,6/29/2014,1052
5941,Washington,Sunday,September,2014,9/14/2014,997
5942,Oklahoma,Saturday,January,2014,1/4/2014,500
5943,New York,Tuesday,January,2014,1/14/2014,844
5944,New Mexico,Thursday,April,2014,4/3/2014,1254
5945,Washington,Wednesday,October,2014,10/15/2014,823
5946,Oregon,Tuesday,February,2014,2/18/2014,777
5947,Louisiana,Sunday,July,2014,7/27/2014,1395
5948,Alaska,Tuesday,November,2014,11/11/2014,644
5949,Delaware,Tuesday,November,2014,11/11/2014,989
5950,Maine,Sunday,March,2014,3/23/2014,465
5951,Georgia,Sunday,October,2014,10/12/2014,1197
5952,Kansas,Wednesday,October,2014,10/8/2014,1251
5953,Missouri,Monday,May,2014,5/5/2014,1449
5954,New York,Thursday,January,2014,1/30/2014,799
5955,Idaho,Saturday,November,2014,11/29/2014,1319
5956,Oklahoma,Saturday,July,2014,7/12/2014,528
5957,Idaho,Monday,November,2014,11/17/2014,1402
5958,Missouri,Tuesday,July,2014,7/29/2014,1065
5959,New York,Sunday,July,2014,7/20/2014,710
5960,Alaska,Friday,February,2014,2/28/2014,823
5961,Alaska,Saturday,May,2014,5/17/2014,712
5962,Alaska,Tuesday,March,2014,3/25/2014,603
5963,Iowa,Monday,August,2014,8/25/2014,1037
5964,Louisiana,Friday,December,2014,12/5/2014,1367
5965,Washington,Wednesday,October,2014,10/8/2014,878
5966,Florida,Friday,August,2014,8/8/2014,829
5967,Nevada,Sunday,September,2014,9/7/2014,373
5968,Alaska,Monday,September,2014,9/15/2014,768
5969,Indiana,Friday,August,2014,8/8/2014,513
5970,Arkansas,Tuesday,June,2014,6/24/2014,1450
5971,Texas,Monday,June,2014,6/16/2014,1247
5972,Washington,Wednesday,November,2014,11/5/2014,930
5973,Missouri,Sunday,July,2014,7/6/2014,1196
5974,Oklahoma,Sunday,January,2014,1/12/2014,582
5975,Alaska,Thursday,January,2014,1/9/2014,673
5976,Kansas,Wednesday,August,2014,8/27/2014,1090
5977,Delaware,Thursday,December,2014,12/18/2014,699
5978,Arkansas,Sunday,June,2014,6/22/2014,1410
5979,Nevada,Wednesday,June,2014,6/25/2014,588
5980,New Mexico,Tuesday,August,2014,8/26/2014,1283
5981,Delaware,Saturday,May,2014,5/10/2014,1000
5982,Oregon,Friday,June,2014,6/6/2014,769
5983,Idaho,Tuesday,September,2014,9/2/2014,1393
5984,Kansas,Wednesday,May,2014,5/7/2014,1239
5985,Oklahoma,Thursday,February,2014,2/13/2014,466
5986,Nevada,Thursday,September,2014,9/25/2014,418
5987,Nebraska,Friday,March,2014,3/14/2014,794
5988,New Mexico,Wednesday,December,2014,12/3/2014,975
5989,New Mexico,Tuesday,November,2014,11/4/2014,1106
5990,New York,Saturday,May,2014,5/10/2014,822
5991,Illinois,Monday,December,2014,12/8/2014,1300
5992,Illinois,Thursday,April,2014,4/24/2014,1396
5993,Alaska,Saturday,June,2014,6/21/2014,734
5994,Missouri,Thursday,September,2014,9/11/2014,1038
5995,New Mexico,Wednesday,September,2014,9/17/2014,1152
5996,New Mexico,Wednesday,July,2014,7/30/2014,1034
5997,New Mexico,Saturday,August,2014,8/23/2014,1173
5998,Mississippi,Sunday,August,2014,8/31/2014,610
5999,Maine,Wednesday,January,2014,1/22/2014,461
6000,Oregon,Monday,August,2014,8/25/2014,688
6001,Delaware,Tuesday,August,2014,8/26/2014,818
6002,Florida,Saturday,August,2014,8/16/2014,1017
6003,Kansas,Wednesday,October,2014,10/1/2014,1180
6004,Illinois,Wednesday,March,2014,3/12/2014,1604
6005,Alaska,Thursday,January,2014,1/30/2014,647
6006,Idaho,Tuesday,May,2014,5/20/2014,1406
6007,Mississippi,Thursday,August,2014,8/28/2014,538
6008,Florida,Sunday,July,2014,7/13/2014,902
6009,Oregon,Monday,July,2014,7/28/2014,617
6010,Ohio,Thursday,February,2014,2/13/2014,569
6011,Alaska,Friday,March,2014,3/21/2014,766
6012,Kansas,Tuesday,May,2014,5/27/2014,1390
6013,Kansas,Sunday,December,2014,12/7/2014,1051
6014,Iowa,Sunday,August,2014,8/3/2014,1185
6015,Florida,Wednesday,November,2014,11/19/2014,845
6016,Texas,Sunday,September,2014,9/28/2014,1197
6017,Oklahoma,Friday,June,2014,6/27/2014,410
6018,Kansas,Friday,August,2014,8/29/2014,1137
6019,Louisiana,Tuesday,December,2014,12/2/2014,1475
6020,Arkansas,Tuesday,August,2014,8/12/2014,1538
6021,Nebraska,Wednesday,May,2014,5/28/2014,695
6022,Ohio,Monday,February,2014,2/17/2014,827
6023,Kansas,Monday,November,2014,11/3/2014,1065
6024,Ohio,Wednesday,January,2014,1/8/2014,599
6025,Georgia,Tuesday,September,2014,9/30/2014,1055
6026,Georgia,Monday,December,2014,12/22/2014,1196
6027,Georgia,Friday,July,2014,7/18/2014,1230
6028,Oregon,Monday,February,2014,2/24/2014,740
6029,Iowa,Friday,December,2014,12/5/2014,1237
6030,Florida,Friday,December,2014,12/5/2014,824
6031,California,Monday,May,2014,5/5/2014,593
6032,Kansas,Thursday,October,2014,10/23/2014,1048
6033,New York,Monday,June,2014,6/16/2014,670
6034,Alaska,Saturday,February,2014,2/15/2014,727
6035,Oregon,Sunday,April,2014,4/27/2014,740
6036,Kansas,Sunday,October,2014,10/19/2014,1220
6037,Oklahoma,Tuesday,July,2014,7/22/2014,552
6038,Alaska,Saturday,April,2014,4/19/2014,685
6039,Washington,Thursday,June,2014,6/12/2014,886
6040,Iowa,Wednesday,July,2014,7/30/2014,1279
6041,California,Friday,November,2014,11/21/2014,539
6042,Washington,Thursday,July,2014,7/24/2014,956
6043,Delaware,Wednesday,November,2014,11/26/2014,717
